Time,Voltage
2023-01-23T17:55:40Z,250
2023-01-23T17:56:00Z,250
2023-01-23T17:56:20Z,250.5
2023-01-23T17:56:40Z,250.5
2023-01-23T17:57:00Z,251
2023-01-23T17:57:20Z,250.5
2023-01-23T17:57:40Z,250.5
2023-01-23T17:58:00Z,251
2023-01-23T17:58:20Z,250.5
2023-01-23T17:58:40Z,251
2023-01-23T17:59:00Z,251
2023-01-23T17:59:20Z,251
2023-01-23T17:59:40Z,251.5
2023-01-23T18:00:00Z,251
2023-01-23T18:00:20Z,251.5
2023-01-23T18:00:40Z,252.5
2023-01-23T18:01:00Z,253
2023-01-23T18:01:20Z,252.5
2023-01-23T18:01:40Z,252.5
2023-01-23T18:02:00Z,251.5
2023-01-23T18:02:20Z,252
2023-01-23T18:02:40Z,252
2023-01-23T18:03:00Z,252
2023-01-23T18:03:20Z,252
2023-01-23T18:03:40Z,252
2023-01-23T18:04:00Z,252
2023-01-23T18:04:20Z,252
2023-01-23T18:04:40Z,252
2023-01-23T18:05:00Z,252
2023-01-23T18:05:20Z,252
2023-01-23T18:05:40Z,252.5
2023-01-23T18:06:00Z,252
2023-01-23T18:06:20Z,252
2023-01-23T18:06:40Z,251
2023-01-23T18:07:00Z,251
2023-01-23T18:07:20Z,251
2023-01-23T18:07:40Z,251
2023-01-23T18:08:00Z,251
2023-01-23T18:08:20Z,251
2023-01-23T18:08:40Z,251
2023-01-23T18:09:00Z,251
2023-01-23T18:09:20Z,251
2023-01-23T18:09:40Z,251
2023-01-23T18:10:00Z,251
2023-01-23T18:10:20Z,251
2023-01-23T18:10:40Z,250
2023-01-23T18:11:00Z,251.5
2023-01-23T18:11:20Z,252
2023-01-23T18:11:40Z,252
2023-01-23T18:12:00Z,251.5
2023-01-23T18:12:20Z,252
2023-01-23T18:12:40Z,252
2023-01-23T18:13:00Z,252
2023-01-23T18:13:20Z,252
2023-01-23T18:13:40Z,252
2023-01-23T18:14:00Z,252
2023-01-23T18:14:20Z,252
2023-01-23T18:14:40Z,253
2023-01-23T18:15:00Z,252
2023-01-23T18:15:20Z,252.5
2023-01-23T18:15:40Z,252.5
2023-01-23T18:16:00Z,253
2023-01-23T18:16:20Z,253
2023-01-23T18:16:40Z,253
2023-01-23T18:17:00Z,253
2023-01-23T18:17:20Z,253
2023-01-23T18:17:40Z,253
